date,sales,onpromotion
2013-01-01,2511.618999,0
2013-01-02,496092.417944,0
2013-01-03,361211.231124,0
2013-01-04,354195.6770927,0
2013-01-05,473226.121229,0
2013-01-06,518805.401088,0
2013-01-07,334360.801066,0
2013-01-08,315574.777981,0
2013-01-09,296941.80901799997,0
2013-01-10,257110.003049,0
2013-01-11,286406.6850845,0
2013-01-12,399503.2120105,0
2013-01-13,459940.547998,0
2013-01-14,289851.362078,0
2013-01-15,293744.549954,0
2013-01-16,314364.913946,0
2013-01-17,261933.5159755,0
2013-01-18,289101.850028,0
2013-01-19,428723.852021,0
2013-01-20,456822.386047,0
2013-01-21,296066.26595,0
2013-01-22,288163.728983,0
2013-01-23,277309.4530325,0
2013-01-24,239740.690995,0
2013-01-25,279417.77193,0
2013-01-26,401956.7679753,0
2013-01-27,424360.991233,0
2013-01-28,272653.169953,0
2013-01-29,242909.8180765,0
2013-01-30,269297.127052,0
2013-01-31,258683.217996,0
2013-02-01,358389.055266,0
2013-02-02,510670.462705,0
2013-02-03,475696.82018,0
2013-02-04,335350.715017,0
2013-02-05,309398.83913,0
2013-02-06,306611.049149,0
2013-02-07,273372.530973,0
2013-02-08,337446.789912,0
2013-02-09,398123.2790747,0
2013-02-10,282843.328993,0
2013-02-11,267895.588926,0
2013-02-12,296991.7909121,0
2013-02-13,304538.929962,0
2013-02-14,289903.016957,0
2013-02-15,302313.883912,0
2013-02-16,479487.494008,0
2013-02-17,382512.910014,0
2013-02-18,329255.573191,0
2013-02-19,267523.801951,0
2013-02-20,293537.162034,0
2013-02-21,252650.1090155,0
2013-02-22,265482.897131,0
2013-02-23,396233.349113,0
2013-02-24,436610.126103,0
2013-02-25,279015.875933,0
2013-02-26,245999.0070675,0
2013-02-27,266381.998919,0
2013-02-28,260211.291888,0
2013-03-01,358190.165064,0
2013-03-02,534305.205258,0
2013-03-03,551839.580027,0
2013-03-04,362993.679097,0
2013-03-05,305442.714189,0
2013-03-06,306981.835968,0
2013-03-07,265269.52701,0
2013-03-08,294454.679967,0
2013-03-09,436412.496866,0
2013-03-10,437445.756153,0
2013-03-11,291737.133021,0
2013-03-12,246204.47801,0
2013-03-13,260791.882972,0
2013-03-14,226227.420096,0
2013-03-15,278947.090213,0
2013-03-16,463527.433961,0
2013-03-17,498822.584913,0
2013-03-18,307084.419031,0
2013-03-19,270867.245897,0
2013-03-20,290261.006946,0
2013-03-21,246046.127953,0
2013-03-22,280748.453969,0
2013-03-23,432749.003086,0
2013-03-24,433494.636951,0
2013-03-25,281943.6099585,0
2013-03-26,243539.2359,0
2013-03-27,291653.148998,0
2013-03-28,308481.269022,0
2013-03-29,328212.132,0
2013-03-30,431552.356036,0
2013-03-31,438625.639956,0
2013-04-01,409526.447912,0
2013-04-02,337718.827961,0
2013-04-03,339783.0758793,0
2013-04-04,270586.621963,0
2013-04-05,294501.782031,0
2013-04-06,484566.214023,0
2013-04-07,502461.376884,0
2013-04-08,313479.815943,0
2013-04-09,274090.7999627,0
2013-04-10,282954.374941,0
2013-04-11,278307.41301,0
2013-04-12,280897.967035,0
2013-04-13,425244.497048,0
2013-04-14,451085.148813,0
2013-04-15,304851.458055,0
2013-04-16,278124.618049,0
2013-04-17,297642.518942,0
2013-04-18,256355.50995100001,0
2013-04-19,278684.70494,0
2013-04-20,430478.838043,0
2013-04-21,462827.032087,0
2013-04-22,290868.173986,0
2013-04-23,248540.8329435,0
2013-04-24,275300.067925,0
2013-04-25,232815.618996,0
2013-04-26,268134.556952,0
2013-04-27,417500.661892,0
2013-04-28,450593.4729303,0
2013-04-29,288835.874018,0
2013-04-30,266007.466894,0
2013-05-01,467417.636889,0
2013-05-02,313328.460063,0
2013-05-03,333646.0400323,0
2013-05-04,499662.51596499997,0
2013-05-05,556578.550981,0
2013-05-06,304310.179046,0
2013-05-07,254790.964148,0
2013-05-08,296134.410968,0
2013-05-09,260067.563023,0
2013-05-10,295719.441949,0
2013-05-11,492588.58108,0
2013-05-12,363561.5050145,0
2013-05-13,315882.06187,0
2013-05-14,257646.313119,0
2013-05-15,286472.560081,0
2013-05-16,255423.946937,0
2013-05-17,265070.484998,0
2013-05-18,445647.558942,0
2013-05-19,490518.554009,0
2013-05-20,305103.214991,0
2013-05-21,267976.399952,0
2013-05-22,259479.4831075,0
2013-05-23,232724.058026,0
2013-05-24,364726.941982,0
2013-05-25,380285.141993,0
2013-05-26,416591.400068,0
2013-05-27,267097.51892349997,0
2013-05-28,273158.1680565,0
2013-05-29,255995.380899,0
2013-05-30,257921.849939,0
2013-05-31,271745.841975,0
2013-06-01,545040.814988,0
2013-06-02,623027.494958,0
2013-06-03,378436.650995,0
2013-06-04,322344.160085,0
2013-06-05,316428.080915,0
2013-06-06,275226.765891,0
2013-06-07,302958.087977,0
2013-06-08,426396.699096,0
2013-06-09,495288.730256,0
2013-06-10,289936.291978,0
2013-06-11,235355.2159925,0
2013-06-12,271201.5779987,0
2013-06-13,243351.6030452,0
2013-06-14,278181.7421072,0
2013-06-15,473159.6668701,0
2013-06-16,386208.082881,0
2013-06-17,332365.271024,0
2013-06-18,267790.3299215,0
2013-06-19,260765.257977,0
2013-06-20,239259.944015,0
2013-06-21,270525.6870265,0
2013-06-22,408622.312096,0
2013-06-23,459097.845142,0
2013-06-24,283241.9060383,0
2013-06-25,263851.530064,0
2013-06-26,263962.5559636,0
2013-06-27,223937.458966,0
2013-06-28,269681.971803,0
2013-06-29,467295.108146,0
2013-06-30,499501.693027,0
2013-07-01,407705.3880965,0
2013-07-02,331128.38408,0
2013-07-03,323347.429949,0
2013-07-04,277016.152028,0
2013-07-05,296275.500074,0
2013-07-06,426233.493924,0
2013-07-07,452063.073078,0
2013-07-08,313231.995017,0
2013-07-09,250504.1449993,0
2013-07-10,258280.886071,0
2013-07-11,236608.931023,0
2013-07-12,251201.921133,0
2013-07-13,400874.1022205,0
2013-07-14,396860.417857,0
2013-07-15,291718.0469486,0
2013-07-16,270879.013006,0
2013-07-17,270056.8180255,0
2013-07-18,226050.8739522,0
2013-07-19,257546.555049,0
2013-07-20,387232.731013,0
2013-07-21,400374.624049,0
2013-07-22,284814.47005,0
2013-07-23,266001.298107,0
2013-07-24,251922.7899995,0
2013-07-25,247422.5179247,0
2013-07-26,254261.692921,0
2013-07-27,389009.5020012,0
2013-07-28,379865.6520873,0
2013-07-29,267078.2850525,0
2013-07-30,260002.989932,0
2013-07-31,303848.363012,0
2013-08-01,347953.4911021,0
2013-08-02,337128.120007,0
2013-08-03,481671.447013,0
2013-08-04,472880.27594,0
2013-08-05,359202.143946,0
2013-08-06,300085.134086,0
2013-08-07,277230.187003,0
2013-08-08,251167.3549315,0
2013-08-09,279700.667868,0
2013-08-10,375663.68609,0
2013-08-11,385973.3230013,0
2013-08-12,283946.224033,0
2013-08-13,250423.331061,0
2013-08-14,266025.580893,0
2013-08-15,248967.17291,0
2013-08-16,302982.2198839,0
2013-08-17,407187.1839167,0
2013-08-18,406230.7730675,0
2013-08-19,295374.52696,0
2013-08-20,284948.63398,0
2013-08-21,267671.489932,0
2013-08-22,250990.26098,0
2013-08-23,278469.369098,0
2013-08-24,359004.154994,0
2013-08-25,380550.093754,0
2013-08-26,281434.5660143,0
2013-08-27,245124.2190185,0
2013-08-28,258752.060993,0
2013-08-29,240332.685943,0
2013-08-30,286551.930947,0
2013-08-31,480343.3811059,0
2013-09-01,611543.221875,0
2013-09-02,388952.987966,0
2013-09-03,340761.420032,0
2013-09-04,333739.48591,0
2013-09-05,273459.113063,0
2013-09-06,259974.247929,0
2013-09-07,481802.247,0
2013-09-08,521800.663091,0
2013-09-09,306875.7070027,0
2013-09-10,237176.4658225,0
2013-09-11,257647.88185,0
2013-09-12,235137.730937,0
2013-09-13,255818.942029,0
2013-09-14,415055.004996,0
2013-09-15,470484.217041,0
2013-09-16,298231.547879,0
2013-09-17,265147.949966,0
2013-09-18,236293.877926,0
2013-09-19,223284.372008,0
2013-09-20,261000.8579701,0
2013-09-21,406583.380896,0
2013-09-22,440594.7019007,0
2013-09-23,279629.0340047,0
2013-09-24,223027.392926,0
2013-09-25,248425.184996,0
2013-09-26,211563.8798588,0
2013-09-27,246123.773024,0
2013-09-28,433661.6890081,0
2013-09-29,451507.70894599997,0
2013-09-30,300330.4500143,0
2013-10-01,379143.872076,0
2013-10-02,356674.6550375,0
2013-10-03,276415.52203,0
2013-10-04,315300.845059,0
2013-10-05,481705.625057,0
2013-10-06,505180.424016,0
2013-10-07,304122.703043,0
2013-10-08,248300.7240121,0
2013-10-09,257420.418957,0
2013-10-10,242765.5530576,0
2013-10-11,335665.849028,0
2013-10-12,360220.1919939,0
2013-10-13,426850.2559686,0
2013-10-14,278472.7209944,0
2013-10-15,225650.569986,0
2013-10-16,282278.963943,0
2013-10-17,252989.409961,0
2013-10-18,249003.476107,0
2013-10-19,403664.570001,0
2013-10-20,487677.5090483,0
2013-10-21,275593.475971,0
2013-10-22,230325.7850828,0
2013-10-23,249921.11598,0
2013-10-24,221419.0800025,0
2013-10-25,242326.7660338,0
2013-10-26,385482.363914,0
2013-10-27,448158.7050689,0
2013-10-28,253596.40296,0
2013-10-29,221207.9969864,0
2013-10-30,241535.0000373,0
2013-10-31,228911.433106,0
2013-11-01,328844.174955,0
2013-11-02,469938.555037,0
2013-11-03,550971.362029,0
2013-11-04,358857.716046,0
2013-11-05,327441.576909,0
2013-11-06,298452.3368195,0
2013-11-07,264650.3400477,0
2013-11-08,287709.978049,0
2013-11-09,438114.02307,0
2013-11-10,541614.410239,0
2013-11-11,281260.890067,0
2013-11-12,294856.748034,0
2013-11-13,251957.7578851,0
2013-11-14,228735.4029707,0
2013-11-15,258341.296052,0
2013-11-16,451021.5881155,0
2013-11-17,526151.228924,0
2013-11-18,315840.551999,0
2013-11-19,259487.6870234,0
2013-11-20,256305.734795,0
2013-11-21,227736.538965,0
2013-11-22,262755.213038,0
2013-11-23,406374.080837,0
2013-11-24,515803.056106,0
2013-11-25,299881.2610102,0
2013-11-26,250926.830024,0
2013-11-27,271676.286026,0
2013-11-28,232754.981947,0
2013-11-29,276107.335165,0
2013-11-30,484479.655801,0
2013-12-01,676845.356989,0
2013-12-02,457735.366984,0
2013-12-03,359023.046973,0
2013-12-04,365814.0459855,0
2013-12-05,313067.804985,0
2013-12-06,381738.755068,0
2013-12-07,483127.947801,0
2013-12-08,544629.895921,0
2013-12-09,354595.3141075,0
2013-12-10,317575.695986,0
2013-12-11,340758.575908,0
2013-12-12,300536.080979,0
2013-12-13,347067.0129787,0
2013-12-14,501984.234024,0
2013-12-15,605015.4108165,0
2013-12-16,459345.290853,0
2013-12-17,411714.7168425,0
2013-12-18,463732.736925,0
2013-12-19,433927.038187,0
2013-12-20,482530.2676365,0
2013-12-21,632721.07474,0
2013-12-22,655332.146867,0
2013-12-23,755875.284427,0
2013-12-24,564176.069732,0
2013-12-25,0.0,0
2013-12-26,410833.4584137,0
2013-12-27,396222.968043,0
2013-12-28,489898.305979,0
2013-12-29,439569.5049237,0
2013-12-30,578455.7358515,0
2013-12-31,448200.1450475,0
2014-01-01,6273.065404,0
2014-01-02,774246.226041,0
2014-01-03,631497.845603,0
2014-01-04,910284.8866039,0
2014-01-05,926817.78894,0
2014-01-06,545061.379009,0
2014-01-07,502277.4868595,0
2014-01-08,581394.853478,0
2014-01-09,421984.740414,0
2014-01-10,475699.558066,0
2014-01-11,727483.566619,0
2014-01-12,788144.598917,0
2014-01-13,495764.0150185,0
2014-01-14,417239.816285,0
2014-01-15,495441.695069,0
2014-01-16,423433.214207,0
2014-01-17,469275.915657,0
2014-01-18,737362.8899055,0
2014-01-19,809825.334091,0
2014-01-20,516927.531871,0
2014-01-21,450977.207912,0
2014-01-22,481659.596874,0
2014-01-23,390018.9378597,0
2014-01-24,449486.742256,0
2014-01-25,678205.631053,0
2014-01-26,750640.283862,0
2014-01-27,445871.601711,0
2014-01-28,398509.770798,0
2014-01-29,441489.989922,0
2014-01-30,386398.0157033,0
2014-01-31,495878.192394,0
2014-02-01,586657.19898,0
2014-02-02,568794.802102,0
2014-02-03,388869.2949585,0
2014-02-04,323175.5869763,0
2014-02-05,310902.3059075,0
2014-02-06,269608.101529,0
2014-02-07,295740.568011,0
2014-02-08,449274.059914,0
2014-02-09,455907.2620746,0
2014-02-10,312461.737011,0
2014-02-11,264567.7339877,0
2014-02-12,309453.366972,0
2014-02-13,256153.1925675,0
2014-02-14,286767.4069057,0
2014-02-15,471363.357859,0
2014-02-16,542531.75008,0
2014-02-17,331905.2879535,0
2014-02-18,290777.619942,0
2014-02-19,259641.4930075,0
2014-02-20,224281.9201135,0
2014-02-21,269662.062633,0
2014-02-22,472143.489827,0
2014-02-23,420421.463891,0
2014-02-24,332781.188997,0
2014-02-25,248901.11008399999,0
2014-02-26,277256.266985,0
2014-02-27,246140.185244,0
2014-02-28,334956.795466,0
2014-03-01,868995.9328707,0
2014-03-02,615063.052988,0
2014-03-03,554989.031386,0
2014-03-04,700036.926096,0
2014-03-05,687918.416525,0
2014-03-06,531040.444339,0
2014-03-07,526563.341178,0
2014-03-08,674295.259201,0
2014-03-09,875385.419984,0
2014-03-10,508963.909974,0
2014-03-11,445600.375063,0
2014-03-12,483432.797032,0
2014-03-13,389006.444554,0
2014-03-14,455713.2554715,0
2014-03-15,670057.789851,0
2014-03-16,885963.696772,0
2014-03-17,528868.859118,0
2014-03-18,435177.21075,0
2014-03-19,497917.035018,0
2014-03-20,420177.208641,0
2014-03-21,459571.469984,0
2014-03-22,683357.210772,0
2014-03-23,770623.636064,0
2014-03-24,472337.044919,0
2014-03-25,459642.6183493,0
2014-03-26,463325.198547,0
